"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jul 31 09:04:39 GMT 2024","Wed Jul 31 09:04:50 GMT 2024","10968","","","","","","TC_06_Verify the navigation bar",""
"passed","Wed Jul 31 09:04:17 GMT 2024","Wed Jul 31 09:04:18 GMT 2024","1302","","","","","","TC_09_Verify the contact us form with empty field",""
"passed","Wed Jul 31 09:05:04 GMT 2024","Wed Jul 31 09:05:07 GMT 2024","3229","","","","","","TC_12_Verify the sign up with invald filled fields",""
"passed","Wed Jul 31 09:03:07 GMT 2024","Wed Jul 31 09:03:19 GMT 2024","12004","","","","","","TC_01_Verify cookie pop-up in case clicking 'Allow all' button",""
"passed","Wed Jul 31 09:03:27 GMT 2024","Wed Jul 31 09:03:30 GMT 2024","3739","","","","","","TC_02_Verify cookie pop-up in case allowing every option separately",""
"passed","Wed Jul 31 09:03:47 GMT 2024","Wed Jul 31 09:03:51 GMT 2024","4245","","","","","","TC_04_Verify conect with us section with valid and invalid email",""
"passed","Wed Jul 31 09:03:38 GMT 2024","Wed Jul 31 09:03:39 GMT 2024","1404","","","","","","TC_03_Verify cookie pop-up in case allowing all cookies at once",""
"passed","Wed Jul 31 09:04:04 GMT 2024","Wed Jul 31 09:04:10 GMT 2024","6060","","","","","","TC_08_Verify the contact us form with valid data",""
"passed","Wed Jul 31 09:05:23 GMT 2024","Wed Jul 31 09:05:24 GMT 2024","1026","","","","","","TC_14_Verify the sign up with Microsoft account",""
"broken","Wed Jul 31 09:03:59 GMT 2024","Wed Jul 31 09:04:00 GMT 2024","1546","","","","","","TC_05_Verify privacy policy and terms and conditions links of conect with us section",""
"passed","Wed Jul 31 09:04:25 GMT 2024","Wed Jul 31 09:04:32 GMT 2024","6782","","","","","","TC_10_Verify social media icons",""
"broken","Wed Jul 31 09:05:31 GMT 2024","Wed Jul 31 09:05:41 GMT 2024","10470","","","","","","TC_15_Verify that Promo code field appears after clicking on button",""
"passed","Wed Jul 31 09:05:15 GMT 2024","Wed Jul 31 09:05:16 GMT 2024","936","","","","","","TC_13_Verify the sign up with Google account",""
"passed","Wed Jul 31 09:05:44 GMT 2024","Wed Jul 31 09:05:48 GMT 2024","4480","","","","","","TC_07_Verify adding and deleting item from the shoppoing card",""
"passed","Wed Jul 31 09:04:53 GMT 2024","Wed Jul 31 09:04:57 GMT 2024","3700","","","","","","TC_11_Verify the sign up with all empty fields",""
