"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 22 18:22:12 GMT 2024","Mon Jul 22 18:22:15 GMT 2024","3542","","","","","","TC_12_Verify the sign up with invald filled fields",""
"passed","Mon Jul 22 18:20:45 GMT 2024","Mon Jul 22 18:20:50 GMT 2024","4594","","","","","","TC_04_Verify conect with us section with valid and invalid email",""
"passed","Mon Jul 22 18:21:26 GMT 2024","Mon Jul 22 18:21:28 GMT 2024","1350","","","","","","TC_09_Verify the contact us form with empty field",""
"passed","Mon Jul 22 18:20:25 GMT 2024","Mon Jul 22 18:20:29 GMT 2024","3746","","","","","","TC_02_Verify cookie pop-up in case allowing every option separately",""
"passed","Mon Jul 22 18:20:36 GMT 2024","Mon Jul 22 18:20:38 GMT 2024","1509","","","","","","TC_03_Verify cookie pop-up in case allowing all cookies at once",""
"passed","Mon Jul 22 18:21:35 GMT 2024","Mon Jul 22 18:21:43 GMT 2024","7450","","","","","","TC_10_Verify social media icons",""
"passed","Mon Jul 22 18:22:00 GMT 2024","Mon Jul 22 18:22:04 GMT 2024","4336","","","","","","TC_11_Verify the sign up with all empty fields",""
"passed","Mon Jul 22 18:22:48 GMT 2024","Mon Jul 22 18:22:52 GMT 2024","4154","","","","","","TC_07_Verify adding and deleting item from the shoppoing card",""
"passed","Mon Jul 22 18:21:11 GMT 2024","Mon Jul 22 18:21:19 GMT 2024","8004","","","","","","TC_08_Verify the contact us form with valid data",""
"passed","Mon Jul 22 18:21:50 GMT 2024","Mon Jul 22 18:21:52 GMT 2024","2532","","","","","","TC_06_Verify the navigation bar",""
"passed","Mon Jul 22 18:22:31 GMT 2024","Mon Jul 22 18:22:32 GMT 2024","1225","","","","","","TC_14_Verify the sign up with Microsoft account",""
"passed","Mon Jul 22 18:20:57 GMT 2024","Mon Jul 22 18:21:03 GMT 2024","5838","","","","","","TC_05_Verify privacy policy and terms and conditions links of conect with us section",""
"failed","Mon Jul 22 18:20:04 GMT 2024","Mon Jul 22 18:20:22 GMT 2024","17474","","","","","","TC_01_Verify cookie pop-up in case clicking 'Allow all' button",""
"passed","Mon Jul 22 18:22:22 GMT 2024","Mon Jul 22 18:22:23 GMT 2024","1213","","","","","","TC_13_Verify the sign up with Google account",""
"passed","Mon Jul 22 18:22:39 GMT 2024","Mon Jul 22 18:22:41 GMT 2024","1670","","","","","","TC_15_Verify that Promo code field appears after clicking on button",""
