"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 22 18:07:00 GMT 2024","Mon Jul 22 18:07:04 GMT 2024","3557","","","","","","TC_12_Verify the sign up with invald filled fields",""
"passed","Mon Jul 22 18:05:19 GMT 2024","Mon Jul 22 18:05:22 GMT 2024","3629","","","","","","TC_02_Verify cookie pop-up in case allowing every option separately",""
"passed","Mon Jul 22 18:06:26 GMT 2024","Mon Jul 22 18:06:32 GMT 2024","6423","","","","","","TC_10_Verify social media icons",""
"passed","Mon Jul 22 18:07:28 GMT 2024","Mon Jul 22 18:07:30 GMT 2024","1492","","","","","","TC_15_Verify that Promo code field appears after clicking on button",""
"passed","Mon Jul 22 18:06:03 GMT 2024","Mon Jul 22 18:06:10 GMT 2024","6740","","","","","","TC_08_Verify the contact us form with valid data",""
"passed","Mon Jul 22 18:06:39 GMT 2024","Mon Jul 22 18:06:41 GMT 2024","2147","","","","","","TC_06_Verify the navigation bar",""
"passed","Mon Jul 22 18:05:30 GMT 2024","Mon Jul 22 18:05:31 GMT 2024","1400","","","","","","TC_03_Verify cookie pop-up in case allowing all cookies at once",""
"passed","Mon Jul 22 18:05:51 GMT 2024","Mon Jul 22 18:05:55 GMT 2024","4694","","","","","","TC_05_Verify privacy policy and terms and conditions links of conect with us section",""
"failed","Mon Jul 22 18:04:53 GMT 2024","Mon Jul 22 18:05:16 GMT 2024","23216","","","","","","TC_01_Verify cookie pop-up in case clicking 'Allow all' button",""
"passed","Mon Jul 22 18:06:49 GMT 2024","Mon Jul 22 18:06:53 GMT 2024","3838","","","","","","TC_11_Verify the sign up with all empty fields",""
"passed","Mon Jul 22 18:07:11 GMT 2024","Mon Jul 22 18:07:12 GMT 2024","1191","","","","","","TC_13_Verify the sign up with Google account",""
"passed","Mon Jul 22 18:06:17 GMT 2024","Mon Jul 22 18:06:19 GMT 2024","1678","","","","","","TC_09_Verify the contact us form with empty field",""
"passed","Mon Jul 22 18:05:38 GMT 2024","Mon Jul 22 18:05:43 GMT 2024","4536","","","","","","TC_04_Verify conect with us section with valid and invalid email",""
"passed","Mon Jul 22 18:07:20 GMT 2024","Mon Jul 22 18:07:21 GMT 2024","1220","","","","","","TC_14_Verify the sign up with Microsoft account",""
"passed","Mon Jul 22 18:07:37 GMT 2024","Mon Jul 22 18:07:41 GMT 2024","4361","","","","","","TC_07_Verify adding and deleting item from the shoppoing card",""
