"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 22 18:23:47 GMT 2024","Sat Jun 22 18:23:51 GMT 2024","3898","","","","","","TC_11_Verify the sign up with all empty fields",""
"passed","Sat Jun 22 18:24:31 GMT 2024","Sat Jun 22 18:24:32 GMT 2024","1455","","","","","","TC_15_Verify that Promo code field appears after clicking on button",""
"passed","Sat Jun 22 18:22:34 GMT 2024","Sat Jun 22 18:22:38 GMT 2024","3807","","","","","","TC_04_Verify conect with us section with valid and invalid email",""
"passed","Sat Jun 22 18:22:46 GMT 2024","Sat Jun 22 18:22:50 GMT 2024","4932","","","","","","TC_05_Verify privacy policy and terms and conditions links of conect with us section",""
"passed","Sat Jun 22 18:24:22 GMT 2024","Sat Jun 22 18:24:23 GMT 2024","1274","","","","","","TC_14_Verify the sign up with Microsoft account",""
"passed","Sat Jun 22 18:23:37 GMT 2024","Sat Jun 22 18:23:39 GMT 2024","2456","","","","","","TC_06_Verify the navigation bar",""
"passed","Sat Jun 22 18:23:58 GMT 2024","Sat Jun 22 18:24:02 GMT 2024","3687","","","","","","TC_12_Verify the sign up with invald filled fields",""
"passed","Sat Jun 22 18:22:58 GMT 2024","Sat Jun 22 18:23:07 GMT 2024","9285","","","","","","TC_08_Verify the contact us form with valid data",""
"passed","Sat Jun 22 18:22:24 GMT 2024","Sat Jun 22 18:22:27 GMT 2024","2484","","","","","","TC_03_Verify cookie pop-up in case allowing all cookies at once",""
"failed","Sat Jun 22 18:21:53 GMT 2024","Sat Jun 22 18:22:09 GMT 2024","16129","","","","","","TC_01_Verify cookie pop-up in case clicking 'Allow all' button",""
"failed","Sat Jun 22 18:24:09 GMT 2024","Sat Jun 22 18:24:20 GMT 2024","10850","","","","","","TC_13_Verify the sign up with Google account",""
"passed","Sat Jun 22 18:23:15 GMT 2024","Sat Jun 22 18:23:16 GMT 2024","1223","","","","","","TC_09_Verify the contact us form with empty field",""
"failed","Sat Jun 22 18:24:39 GMT 2024","Sat Jun 22 18:24:54 GMT 2024","14331","","","","","","TC_07_Verify adding and deleting item from the shoppoing card",""
"passed","Sat Jun 22 18:23:23 GMT 2024","Sat Jun 22 18:23:30 GMT 2024","6424","","","","","","TC_10_Verify social media icons",""
"passed","Sat Jun 22 18:22:12 GMT 2024","Sat Jun 22 18:22:17 GMT 2024","4626","","","","","","TC_02_Verify cookie pop-up in case allowing every option separately",""
