"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 14 18:06:21 GMT 2024","Sun Jul 14 18:06:26 GMT 2024","4574","","","","","","TC_04_Verify conect with us section with valid and invalid email",""
"failed","Sun Jul 14 18:07:26 GMT 2024","Sun Jul 14 18:07:37 GMT 2024","11005","","","","","","TC_06_Verify the navigation bar",""
"passed","Sun Jul 14 18:06:11 GMT 2024","Sun Jul 14 18:06:14 GMT 2024","2529","","","","","","TC_03_Verify cookie pop-up in case allowing all cookies at once",""
"failed","Sun Jul 14 18:05:37 GMT 2024","Sun Jul 14 18:05:56 GMT 2024","18263","","","","","","TC_01_Verify cookie pop-up in case clicking 'Allow all' button",""
"passed","Sun Jul 14 18:07:12 GMT 2024","Sun Jul 14 18:07:18 GMT 2024","6491","","","","","","TC_10_Verify social media icons",""
"passed","Sun Jul 14 18:07:39 GMT 2024","Sun Jul 14 18:07:43 GMT 2024","4124","","","","","","TC_11_Verify the sign up with all empty fields",""
"passed","Sun Jul 14 18:06:47 GMT 2024","Sun Jul 14 18:06:56 GMT 2024","9042","","","","","","TC_08_Verify the contact us form with valid data",""
"failed","Sun Jul 14 18:08:02 GMT 2024","Sun Jul 14 18:08:13 GMT 2024","10962","","","","","","TC_13_Verify the sign up with Google account",""
"passed","Sun Jul 14 18:06:33 GMT 2024","Sun Jul 14 18:06:39 GMT 2024","6031","","","","","","TC_05_Verify privacy policy and terms and conditions links of conect with us section",""
"passed","Sun Jul 14 18:05:59 GMT 2024","Sun Jul 14 18:06:04 GMT 2024","4931","","","","","","TC_02_Verify cookie pop-up in case allowing every option separately",""
"passed","Sun Jul 14 18:07:51 GMT 2024","Sun Jul 14 18:07:55 GMT 2024","3922","","","","","","TC_12_Verify the sign up with invald filled fields",""
"passed","Sun Jul 14 18:07:03 GMT 2024","Sun Jul 14 18:07:04 GMT 2024","1553","","","","","","TC_09_Verify the contact us form with empty field",""
