"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 14 19:56:28 GMT 2024","Sun Jul 14 19:56:33 GMT 2024","5052","","","","","","TC_02_Verify cookie pop-up in case allowing every option separately",""
"passed","Sun Jul 14 19:57:30 GMT 2024","Sun Jul 14 19:57:32 GMT 2024","1623","","","","","","TC_09_Verify the contact us form with empty field",""
"failed","Sun Jul 14 19:56:08 GMT 2024","Sun Jul 14 19:56:25 GMT 2024","16245","","","","","","TC_01_Verify cookie pop-up in case clicking 'Allow all' button",""
"passed","Sun Jul 14 19:57:15 GMT 2024","Sun Jul 14 19:57:23 GMT 2024","8267","","","","","","TC_08_Verify the contact us form with valid data",""
"passed","Sun Jul 14 19:57:39 GMT 2024","Sun Jul 14 19:57:45 GMT 2024","6112","","","","","","TC_10_Verify social media icons",""
"failed","Sun Jul 14 19:57:53 GMT 2024","Sun Jul 14 19:58:04 GMT 2024","11150","","","","","","TC_06_Verify the navigation bar",""
"passed","Sun Jul 14 19:58:18 GMT 2024","Sun Jul 14 19:58:21 GMT 2024","3735","","","","","","TC_12_Verify the sign up with invald filled fields",""
"passed","Sun Jul 14 19:58:06 GMT 2024","Sun Jul 14 19:58:10 GMT 2024","3810","","","","","","TC_11_Verify the sign up with all empty fields",""
"passed","Sun Jul 14 19:56:50 GMT 2024","Sun Jul 14 19:56:54 GMT 2024","4064","","","","","","TC_04_Verify conect with us section with valid and invalid email",""
"passed","Sun Jul 14 19:56:40 GMT 2024","Sun Jul 14 19:56:43 GMT 2024","2513","","","","","","TC_03_Verify cookie pop-up in case allowing all cookies at once",""
"passed","Sun Jul 14 19:57:02 GMT 2024","Sun Jul 14 19:57:07 GMT 2024","5220","","","","","","TC_05_Verify privacy policy and terms and conditions links of conect with us section",""
"broken","Sun Jul 14 19:58:28 GMT 2024","Sun Jul 14 19:58:40 GMT 2024","11617","","","","","","TC_13_Verify the sign up with Google account",""
