"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 18 21:08:18 GMT 2024","Thu Jul 18 21:08:21 GMT 2024","3519","","","","","","TC_12_Verify the sign up with invald filled fields",""
"passed","Thu Jul 18 21:06:54 GMT 2024","Thu Jul 18 21:06:58 GMT 2024","4472","","","","","","TC_04_Verify conect with us section with valid and invalid email",""
"passed","Thu Jul 18 21:08:45 GMT 2024","Thu Jul 18 21:08:47 GMT 2024","1688","","","","","","TC_15_Verify that Promo code field appears after clicking on button",""
"passed","Thu Jul 18 21:08:28 GMT 2024","Thu Jul 18 21:08:30 GMT 2024","1121","","","","","","TC_13_Verify the sign up with Google account",""
"passed","Thu Jul 18 21:08:06 GMT 2024","Thu Jul 18 21:08:10 GMT 2024","3969","","","","","","TC_11_Verify the sign up with all empty fields",""
"passed","Thu Jul 18 21:06:34 GMT 2024","Thu Jul 18 21:06:38 GMT 2024","3731","","","","","","TC_02_Verify cookie pop-up in case allowing every option separately",""
"passed","Thu Jul 18 21:08:54 GMT 2024","Thu Jul 18 21:08:58 GMT 2024","4468","","","","","","TC_07_Verify adding and deleting item from the shoppoing card",""
"passed","Thu Jul 18 21:07:19 GMT 2024","Thu Jul 18 21:07:26 GMT 2024","7520","","","","","","TC_08_Verify the contact us form with valid data",""
"passed","Thu Jul 18 21:07:34 GMT 2024","Thu Jul 18 21:07:35 GMT 2024","1535","","","","","","TC_09_Verify the contact us form with empty field",""
"failed","Thu Jul 18 21:06:14 GMT 2024","Thu Jul 18 21:06:31 GMT 2024","17161","","","","","","TC_01_Verify cookie pop-up in case clicking 'Allow all' button",""
"passed","Thu Jul 18 21:07:57 GMT 2024","Thu Jul 18 21:07:59 GMT 2024","2301","","","","","","TC_06_Verify the navigation bar",""
"passed","Thu Jul 18 21:06:45 GMT 2024","Thu Jul 18 21:06:47 GMT 2024","1188","","","","","","TC_03_Verify cookie pop-up in case allowing all cookies at once",""
"passed","Thu Jul 18 21:08:37 GMT 2024","Thu Jul 18 21:08:38 GMT 2024","1128","","","","","","TC_14_Verify the sign up with Microsoft account",""
"passed","Thu Jul 18 21:07:06 GMT 2024","Thu Jul 18 21:07:11 GMT 2024","5061","","","","","","TC_05_Verify privacy policy and terms and conditions links of conect with us section",""
"passed","Thu Jul 18 21:07:42 GMT 2024","Thu Jul 18 21:07:50 GMT 2024","7382","","","","","","TC_10_Verify social media icons",""
