"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 16 20:21:47 GMT 2024","Tue Jul 16 20:21:52 GMT 2024","4454","","","","","","TC_04_Verify conect with us section with valid and invalid email",""
"passed","Tue Jul 16 20:22:28 GMT 2024","Tue Jul 16 20:22:30 GMT 2024","1645","","","","","","TC_09_Verify the contact us form with empty field",""
"passed","Tue Jul 16 20:23:39 GMT 2024","Tue Jul 16 20:23:41 GMT 2024","1610","","","","","","TC_15_Verify that Promo code field appears after clicking on button",""
"passed","Tue Jul 16 20:23:48 GMT 2024","Tue Jul 16 20:23:53 GMT 2024","4539","","","","","","TC_07_Verify adding and deleting item from the shoppoing card",""
"passed","Tue Jul 16 20:23:23 GMT 2024","Tue Jul 16 20:23:24 GMT 2024","1290","","","","","","TC_13_Verify the sign up with Google account",""
"passed","Tue Jul 16 20:21:38 GMT 2024","Tue Jul 16 20:21:40 GMT 2024","1499","","","","","","TC_03_Verify cookie pop-up in case allowing all cookies at once",""
"passed","Tue Jul 16 20:22:51 GMT 2024","Tue Jul 16 20:22:53 GMT 2024","2219","","","","","","TC_06_Verify the navigation bar",""
"passed","Tue Jul 16 20:21:59 GMT 2024","Tue Jul 16 20:22:04 GMT 2024","5102","","","","","","TC_05_Verify privacy policy and terms and conditions links of conect with us section",""
"passed","Tue Jul 16 20:22:37 GMT 2024","Tue Jul 16 20:22:44 GMT 2024","6655","","","","","","TC_10_Verify social media icons",""
"failed","Tue Jul 16 20:21:09 GMT 2024","Tue Jul 16 20:21:24 GMT 2024","15268","","","","","","TC_01_Verify cookie pop-up in case clicking 'Allow all' button",""
"passed","Tue Jul 16 20:23:31 GMT 2024","Tue Jul 16 20:23:32 GMT 2024","1179","","","","","","TC_14_Verify the sign up with Microsoft account",""
"passed","Tue Jul 16 20:21:27 GMT 2024","Tue Jul 16 20:21:31 GMT 2024","3843","","","","","","TC_02_Verify cookie pop-up in case allowing every option separately",""
"passed","Tue Jul 16 20:23:01 GMT 2024","Tue Jul 16 20:23:05 GMT 2024","3936","","","","","","TC_11_Verify the sign up with all empty fields",""
"passed","Tue Jul 16 20:23:12 GMT 2024","Tue Jul 16 20:23:16 GMT 2024","3481","","","","","","TC_12_Verify the sign up with invald filled fields",""
"passed","Tue Jul 16 20:22:12 GMT 2024","Tue Jul 16 20:22:21 GMT 2024","8930","","","","","","TC_08_Verify the contact us form with valid data",""
