"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 04 18:59:37 GMT 2024","Thu Jul 04 18:59:40 GMT 2024","3794","","","","","","TC_12_Verify the sign up with invald filled fields",""
"passed","Thu Jul 04 19:00:10 GMT 2024","Thu Jul 04 19:00:12 GMT 2024","1604","","","","","","TC_15_Verify that Promo code field appears after clicking on button",""
"passed","Thu Jul 04 18:58:23 GMT 2024","Thu Jul 04 18:58:29 GMT 2024","5439","","","","","","TC_05_Verify privacy policy and terms and conditions links of conect with us section",""
"failed","Thu Jul 04 18:57:29 GMT 2024","Thu Jul 04 18:57:46 GMT 2024","16306","","","","","","TC_01_Verify cookie pop-up in case clicking 'Allow all' button",""
"passed","Thu Jul 04 18:58:53 GMT 2024","Thu Jul 04 18:58:55 GMT 2024","1571","","","","","","TC_09_Verify the contact us form with empty field",""
"passed","Thu Jul 04 19:00:02 GMT 2024","Thu Jul 04 19:00:03 GMT 2024","1421","","","","","","TC_14_Verify the sign up with Microsoft account",""
"passed","Thu Jul 04 18:58:37 GMT 2024","Thu Jul 04 18:58:46 GMT 2024","9256","","","","","","TC_08_Verify the contact us form with valid data",""
"passed","Thu Jul 04 18:57:49 GMT 2024","Thu Jul 04 18:57:54 GMT 2024","4698","","","","","","TC_02_Verify cookie pop-up in case allowing every option separately",""
"broken","Thu Jul 04 18:59:47 GMT 2024","Thu Jul 04 18:59:59 GMT 2024","11652","","","","","","TC_13_Verify the sign up with Google account",""
"passed","Thu Jul 04 18:59:16 GMT 2024","Thu Jul 04 18:59:18 GMT 2024","2475","","","","","","TC_06_Verify the navigation bar",""
"passed","Thu Jul 04 18:59:26 GMT 2024","Thu Jul 04 18:59:29 GMT 2024","3699","","","","","","TC_11_Verify the sign up with all empty fields",""
"passed","Thu Jul 04 19:00:19 GMT 2024","Thu Jul 04 19:00:24 GMT 2024","5255","","","","","","TC_07_Verify adding and deleting item from the shoppoing card",""
"passed","Thu Jul 04 18:58:01 GMT 2024","Thu Jul 04 18:58:04 GMT 2024","2636","","","","","","TC_03_Verify cookie pop-up in case allowing all cookies at once",""
"passed","Thu Jul 04 18:59:02 GMT 2024","Thu Jul 04 18:59:08 GMT 2024","6505","","","","","","TC_10_Verify social media icons",""
"passed","Thu Jul 04 18:58:11 GMT 2024","Thu Jul 04 18:58:16 GMT 2024","4619","","","","","","TC_04_Verify conect with us section with valid and invalid email",""
