"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 18 14:40:45 GMT 2024","Thu Jul 18 14:40:50 GMT 2024","4436","","","","","","TC_04_Verify conect with us section with valid and invalid email",""
"passed","Thu Jul 18 14:40:36 GMT 2024","Thu Jul 18 14:40:38 GMT 2024","1494","","","","","","TC_03_Verify cookie pop-up in case allowing all cookies at once",""
"passed","Thu Jul 18 14:42:28 GMT 2024","Thu Jul 18 14:42:30 GMT 2024","1281","","","","","","TC_14_Verify the sign up with Microsoft account",""
"passed","Thu Jul 18 14:40:25 GMT 2024","Thu Jul 18 14:40:29 GMT 2024","3797","","","","","","TC_02_Verify cookie pop-up in case allowing every option separately",""
"passed","Thu Jul 18 14:41:11 GMT 2024","Thu Jul 18 14:41:17 GMT 2024","6708","","","","","","TC_08_Verify the contact us form with valid data",""
"failed","Thu Jul 18 14:40:07 GMT 2024","Thu Jul 18 14:40:22 GMT 2024","15454","","","","","","TC_01_Verify cookie pop-up in case clicking 'Allow all' button",""
"passed","Thu Jul 18 14:42:37 GMT 2024","Thu Jul 18 14:42:39 GMT 2024","1891","","","","","","TC_15_Verify that Promo code field appears after clicking on button",""
"passed","Thu Jul 18 14:41:48 GMT 2024","Thu Jul 18 14:41:50 GMT 2024","2321","","","","","","TC_06_Verify the navigation bar",""
"passed","Thu Jul 18 14:40:58 GMT 2024","Thu Jul 18 14:41:03 GMT 2024","5353","","","","","","TC_05_Verify privacy policy and terms and conditions links of conect with us section",""
"passed","Thu Jul 18 14:41:58 GMT 2024","Thu Jul 18 14:42:02 GMT 2024","4172","","","","","","TC_11_Verify the sign up with all empty fields",""
"passed","Thu Jul 18 14:42:20 GMT 2024","Thu Jul 18 14:42:21 GMT 2024","1272","","","","","","TC_13_Verify the sign up with Google account",""
"passed","Thu Jul 18 14:42:09 GMT 2024","Thu Jul 18 14:42:13 GMT 2024","3519","","","","","","TC_12_Verify the sign up with invald filled fields",""
"passed","Thu Jul 18 14:41:25 GMT 2024","Thu Jul 18 14:41:26 GMT 2024","1748","","","","","","TC_09_Verify the contact us form with empty field",""
"passed","Thu Jul 18 14:41:34 GMT 2024","Thu Jul 18 14:41:41 GMT 2024","7178","","","","","","TC_10_Verify social media icons",""
"passed","Thu Jul 18 14:42:46 GMT 2024","Thu Jul 18 14:42:50 GMT 2024","4259","","","","","","TC_07_Verify adding and deleting item from the shoppoing card",""
